LSOA code,Predicted_Hotspot_Probability
E01001136,0.9931161
E01033738,0.9931064
E01000970,0.9930137
E01000790,0.99293834
E01000253,0.9929262
E01003326,0.9929261
E01032637,0.9929028
E01003918,0.9928818
E01035664,0.992849
E01004420,0.9928082
E01003940,0.99271023
E01000583,0.9927019
E01003994,0.9925781
E01004679,0.99254614
E01001348,0.99252534
E01004272,0.9924291
E01034148,0.9924119
E01003102,0.99236226
E01003278,0.99227846
E01003769,0.9922726
E01001979,0.9921963
E01004483,0.9921835
E01001886,0.9921462
E01004697,0.9921159
E01004130,0.99210477
E01000139,0.99204695
E01001335,0.9920323
E01001450,0.9920312
E01001609,0.99198395
E01002860,0.9919391
E01000922,0.9918624
E01002747,0.9918395
E01003301,0.9918202
E01002758,0.9918194
E01001844,0.9918139
E01002002,0.9918093
E01002742,0.991784
E01000548,0.99166155
E01001646,0.9915173
E01000335,0.9914833
E01004430,0.9914697
E01000676,0.99140394
E01004247,0.991366
E01002764,0.9912333
E01002310,0.9911357
E01002869,0.9910467
E01002801,0.99102014
E01002693,0.9908963
E01002830,0.9907986
E01004152,0.99079823
E01002521,0.99077106
E01034613,0.9907678
E01003508,0.9907347
E01001241,0.9906871
E01001777,0.9906681
E01002826,0.9906148
E01034209,0.99052584
E01002678,0.9905178
E01002589,0.99049115
E01003680,0.99048424
E01003322,0.99033827
E01001092,0.9903043
E01003765,0.9902272
E01003601,0.9901978
E01004356,0.99018735
E01001195,0.9901557
E01000719,0.99009764
E01002069,0.9900475
E01004258,0.9899615
E01034030,0.989935
E01002807,0.98991174
E01000310,0.989815
E01000714,0.9897912
E01003618,0.9897831
E01033867,0.98976165
E01001357,0.98970664
E01003719,0.98969555
E01000986,0.98968726
E01003324,0.98961395
E01002902,0.9895242
E01004407,0.989183
E01004424,0.9891677
E01001989,0.98915803
E01000904,0.9889675
E01002022,0.9888285
E01001552,0.9887307
E01035649,0.98871464
E01003076,0.9885548
E01003653,0.9884725
E01000111,0.9883984
E01000193,0.98839337
E01003507,0.9883002
E01003166,0.9882619
E01003587,0.9882504
E01004499,0.98819166
E01033927,0.98813534
E01001890,0.9879991
E01002236,0.98789203
E01002446,0.98764706
E01000477,0.9875646
E01032741,0.9874736
E01033703,0.9874193
E01002893,0.98740953
E01004653,0.9873996
E01004579,0.9873954
E01004304,0.98732275
E01003566,0.98725766
E01034200,0.9869622
E01000002,0.98693675
E01004529,0.9869105
E01004728,0.98688626
E01003553,0.986685
E01003014,0.9866573
E01004403,0.9866224
E01034179,0.9866022
E01001508,0.98657936
E01002703,0.98591006
E01003029,0.98588943
E01000499,0.98588747
E01035651,0.98588693
E01004560,0.98587996
E01000221,0.9857873
E01002557,0.9857392
E01003778,0.985595
E01001178,0.9855907
E01003212,0.9855876
E01032780,0.9855285
E01003863,0.98551685
E01001908,0.9854837
E01000050,0.9854579
E01003952,0.98542494
E01003817,0.98521036
E01035714,0.9852047
E01003951,0.98518306
E01003973,0.9851295
E01002909,0.9849745
E01003327,0.9849303
E01003120,0.98484635
E01000934,0.98468924
E01001087,0.9846395
E01002832,0.98453736
E01002965,0.98451984
E01000457,0.9844044
E01002038,0.98433393
E01035652,0.9841738
E01001701,0.98412573
E01000725,0.98411185
E01002787,0.9840857
E01003559,0.9840566
E01034579,0.9840284
E01002760,0.9839505
E01002748,0.98377013
E01000525,0.9837339
E01001756,0.98363703
E01000523,0.98361695
E01002692,0.9835375
E01000211,0.9834736
E01004315,0.98343116
E01003913,0.9834179
E01004511,0.9833862
E01003515,0.98333365
E01002813,0.98329955
E01002641,0.9832929
E01002696,0.98326856
E01001994,0.9832213
E01003481,0.98313487
E01003229,0.98305213
E01001369,0.982896
E01004438,0.9825617
E01033580,0.98248726
E01001029,0.98237014
E01002592,0.98232967
E01035665,0.9821812
E01002026,0.9821133
E01001240,0.9820967
E01000943,0.98209375
E01000245,0.9820825
E01032584,0.981991
E01000853,0.9819774
E01033876,0.981741
E01004401,0.981682
E01002677,0.9816774
E01002565,0.9815493
E01004293,0.9815338
E01001808,0.9813905
E01003867,0.98138684
E01000881,0.98126155
E01002125,0.9812562
E01001431,0.981246
E01034146,0.98120785
E01003674,0.9811813
E01000928,0.9811033
E01001409,0.980974
E01002448,0.98080486
E01002133,0.9807389
E01001858,0.98073727
E01003460,0.98066646
E01002093,0.9806527
E01004370,0.98054045
E01003058,0.9804504
E01000661,0.98034716
E01001336,0.98033464
E01000775,0.9803104
E01032575,0.9802705
E01001498,0.98026925
E01002816,0.9801508
E01033736,0.97977805
E01004668,0.97969717
E01004075,0.9796968
E01000439,0.97960556
E01001860,0.9795573
E01004452,0.9795064
E01002732,0.97949904
E01001966,0.9794359
E01000216,0.97939384
E01000643,0.97931194
E01003041,0.9790951
E01003520,0.9788118
E01003375,0.9785446
E01000880,0.9785387
E01003896,0.9784918
E01034211,0.978312
E01000858,0.97809863
E01000510,0.9780708
E01000259,0.9780227
E01004727,0.97800076
E01000360,0.9779815
E01001436,0.97780013
E01003777,0.9776489
E01000724,0.9776188
E01000627,0.97760254
E01001196,0.97758365
E01004687,0.9775174
E01001722,0.97739583
E01003193,0.9773033
E01001848,0.9772314
E01003018,0.97714406
E01002890,0.97706723
E01001310,0.9770544
E01002878,0.9768013
E01000362,0.97670037
E01001866,0.9766593
E01001533,0.9766301
E01004322,0.97655004
E01002618,0.976313
E01000960,0.9761612
E01002762,0.9760369
E01001700,0.97603
E01033589,0.9758086
E01034474,0.9757345
E01001418,0.9757193
E01002728,0.97563076
E01000392,0.97558695
E01002443,0.9754564
E01003977,0.9754558
E01004538,0.975295
E01000508,0.97519016
E01004249,0.97515863
E01001831,0.9748951
E01033487,0.97480655
E01004334,0.9747984
E01003023,0.9747292
E01003930,0.9746835
E01035717,0.9746096
E01001010,0.97459745
E01004222,0.974362
E01002316,0.9743138
E01003398,0.9742312
E01004419,0.9741098
E01003500,0.9738981
E01002009,0.9738922
E01004290,0.9738082
E01004545,0.9737405
E01003605,0.9736022
E01004647,0.9733844
E01004506,0.9733787
E01002608,0.9733138
E01002219,0.9732924
E01003781,0.97322863
E01001770,0.97319406
E01002797,0.9731872
E01033709,0.9731853
E01001540,0.9731819
E01002076,0.973041
E01001894,0.9729831
E01004744,0.97296935
E01004221,0.9727473
E01004754,0.9726564
E01002375,0.9725441
E01000899,0.97228235
E01002793,0.97226804
E01004311,0.972224
E01003200,0.97220933
E01001676,0.9721452
E01000199,0.9721244
E01032771,0.9719944
E01001459,0.9719107
E01002738,0.971826
E01033705,0.9718097
E01000976,0.9717756
E01033702,0.97173834
E01003499,0.97171146
E01000201,0.97167945
E01001834,0.9716185
E01004137,0.97154164
E01004012,0.97132576
E01001920,0.97122455
E01003788,0.97118044
E01003762,0.97113365
E01000316,0.9708713
E01003932,0.9708251
E01001164,0.9707491
E01001347,0.97069037
E01002070,0.97063893
E01001415,0.9706214
E01001239,0.9705494
E01003592,0.9705442
E01003615,0.97047395
E01004709,0.97030455
E01002526,0.9702983
E01001434,0.9702267
E01032785,0.9701071
E01004230,0.9700621
E01000472,0.9696044
E01003748,0.9695369
E01001822,0.9694849
E01035710,0.96896285
E01003194,0.96895456
E01003123,0.96895367
E01002851,0.9687817
E01002930,0.9687676
E01003105,0.9686593
E01002628,0.9685934
E01000150,0.9685694
E01002281,0.9684729
E01000497,0.96846765
E01003284,0.9682059
E01000214,0.96820396
E01004057,0.9679902
E01002010,0.96796364
E01004059,0.9678665
E01003569,0.96782213
E01002789,0.9677046
E01003852,0.9676362
E01002179,0.9675859
E01004170,0.9675523
E01003801,0.9675501
E01003657,0.96752465
E01004701,0.9673976
E01003701,0.9673167
E01004496,0.96726805
E01033713,0.9665945
E01000866,0.9664777
E01000009,0.96640223
E01001114,0.96634966
E01003975,0.9662269
E01002162,0.9661257
E01032782,0.96609294
E01002001,0.9660239
E01001955,0.9658752
E01002865,0.9657568
E01001937,0.9655987
E01000235,0.9653995
E01033081,0.9653639
E01001932,0.9651797
E01032512,0.9649738
E01002578,0.9648848
E01001351,0.9648487
E01001613,0.9647916
E01001426,0.96461
E01000007,0.9643591
E01033884,0.9642032
E01003854,0.9641592
E01000524,0.9639928
E01002626,0.9638497
E01004054,0.96383977
E01004340,0.9637304
E01001116,0.9637268
E01003316,0.9635838
E01003726,0.96344435
E01000250,0.96344215
E01000581,0.9634256
E01000553,0.96302825
E01035492,0.9629955
E01001011,0.9625276
E01004707,0.96246994
E01034152,0.96234465
E01000628,0.96220976
E01001615,0.9618089
E01001044,0.9617658
E01034150,0.9617067
E01000799,0.9616933
E01001812,0.9615572
E01001447,0.96141034
E01002756,0.9610712
E01002068,0.96106416
E01003768,0.96071875
E01001417,0.96066844
E01000615,0.9604818
E01003118,0.9603163
E01000956,0.96024597
E01000946,0.960232
E01000147,0.96019936
E01003960,0.96015
E01001664,0.95965236
E01002615,0.95939505
