LSOA code,Burglary_Count,Borough,longitude,latitude,Cumulative,Cumulative_Percent
E01000296,51,Barnet,-0.1937772174446099,51.60308628451335,40138,27.725740495137046
E01002830,51,Kensington and Chelsea,-0.2050110520509102,51.518778450280784,40189,27.7609692749779
E01034215,51,Newham,-0.0080472371978707,51.54695472213712,40240,27.796198054818746
E01004152,51,Sutton,-0.1931571754475247,51.35677699726598,40291,27.831426834659595
E01002310,51,Havering,0.2152149733919923,51.595206683237,40342,27.86665561450044
E01004652,51,Westminster,-0.187780506200203,51.51667637991652,40393,27.90188439434129
E01004197,51,Tower Hamlets,-0.0552150527003229,51.53302393647173,40444,27.937113174182137
E01002678,51,Hounslow,-0.344570725144738,51.49115145890853,40495,27.97234195402299
E01002763,50,Islington,-0.1204157482776282,51.55584150178965,40545,28.006879973474803
E01001763,50,Hackney,-0.0612745182968954,51.5446962578563,40595,28.041417992926615
E01002905,50,Kensington and Chelsea,-0.214448986386892,51.52160104770199,40645,28.075956012378427
E01001776,50,Hackney,-0.0748647638768684,51.53324039163026,40695,28.110494031830243
E01002813,50,Kensington and Chelsea,-0.19575233347313,51.49689249282873,40745,28.145032051282055
E01002747,50,Islington,-0.1017126366147956,51.56156637505869,40795,28.17957007073386
E01003508,50,Newham,0.0185398847361806,51.51934388382922,40845,28.214108090185675
E01000221,50,Barnet,-0.2176793057404032,51.57438741627054,40895,28.248646109637487
E01004326,50,Tower Hamlets,-0.0567834614374587,51.51519093183565,40945,28.2831841290893
E01004277,50,Tower Hamlets,-0.0248327013089501,51.507132522186446,40995,28.317722148541115
E01002887,50,Kensington and Chelsea,-0.1828548808032764,51.49650638946695,41045,28.352260167992927
E01003515,50,Newham,0.0324655630418608,51.50851938645536,41095,28.38679818744474
E01000171,50,Barnet,-0.1701882872707759,51.64841681520232,41145,28.42133620689655
E01035713,50,Kensington and Chelsea,-0.1753916615596978,51.49152995382353,41195,28.455874226348364
E01001164,50,Croydon,-0.0824472793147213,51.41823308406677,41245,28.49041224580018
E01034209,50,Newham,0.0098230686013456,51.514838919670765,41295,28.52495026525199
E01000105,50,Barking and Dagenham,0.154009225568843,51.53821381586896,41345,28.559488284703804
E01000245,50,Barnet,-0.2217998046805168,51.58667026229087,41395,28.594026304155612
E01001048,50,Croydon,-0.0972142025006521,51.37932379978323,41445,28.628564323607424
E01034579,50,Merton,-0.1871905739429225,51.42951962374987,41495,28.663102343059236
E01002526,50,Hillingdon,-0.4609599242963307,51.50438527466869,41545,28.697640362511052
E01032803,50,Southwark,-0.0839847048666503,51.49962911122395,41595,28.732178381962864
E01000881,50,Camden,-0.1778280008478124,51.550486352396376,41645,28.766716401414676
E01003619,50,Newham,0.001903507668287,51.53916101982063,41695,28.80125442086649
E01003921,50,Southwark,-0.0942068545988494,51.47608896995409,41745,28.835792440318304
E01034478,50,Barking and Dagenham,0.1173370987507771,51.5168012610099,41795,28.870330459770116
E01032780,50,Tower Hamlets,-0.0107741093838581,51.50345512756458,41845,28.90486847922193
E01032774,50,Tower Hamlets,-0.0197283479463232,51.49520715005437,41895,28.93940649867374
E01002594,49,Hounslow,-0.4035644926122078,51.45299002123275,41944,28.973253757736515
E01001844,49,Hackney,-0.0448073136454271,51.542677954237575,41993,29.007101016799293
E01001848,49,Hackney,-0.0357086071129171,51.5442428010802,42042,29.040948275862068
E01002226,49,Harrow,-0.3138895393498694,51.6196067534548,42091,29.074795534924846
E01003854,49,Richmond upon Thames,-0.25230930952823,51.47218015738931,42140,29.10864279398762
E01004219,49,Tower Hamlets,-0.0098292810125278,51.50931944976618,42189,29.142490053050395
E01003916,49,Southwark,-0.0842636107576514,51.47952070347864,42238,29.176337312113176
E01002878,49,Kensington and Chelsea,-0.2147567272040321,51.51654830939628,42287,29.21018457117595
E01002828,49,Kensington and Chelsea,-0.2010109080490401,51.50735572153083,42336,29.244031830238725
E01001558,49,Enfield,-0.0637419835332998,51.61373098987497,42385,29.2778790893015
E01000643,49,Brent,-0.2361233781881665,51.5418862434901,42434,29.31172634836428
E01001234,49,Ealing,-0.2908776454142819,51.5093540254758,42483,29.345573607427056
E01003032,49,Lambeth,-0.1390542652881987,51.45974583490669,42532,29.37942086648983
E01004496,49,Wandsworth,-0.1882478078312749,51.442055906246246,42581,29.413268125552612
E01003500,49,Newham,0.0013890348815163,51.52431586880365,42630,29.447115384615387
E01002386,49,Havering,0.2426734513627206,51.55638327004253,42679,29.48096264367816
E01004322,49,Tower Hamlets,-0.0581882352302872,51.51836834785298,42728,29.514809902740936
E01001178,49,Croydon,-0.1100716768465139,51.39002920181913,42777,29.548657161803714
E01002069,49,Haringey,-0.0755445505079799,51.58577211492721,42826,29.58250442086649
E01003319,49,Lewisham,-0.0156086375392332,51.44434752354002,42875,29.616351679929267
E01002643,49,Hounslow,-0.3476459899662358,51.472698761151534,42924,29.650198938992045
E01002853,49,Kensington and Chelsea,-0.2109851267996456,51.52267785590637,42973,29.68404619805482
E01003334,49,Lewisham,-0.0557000007079598,51.427473030565466,43022,29.717893457117594
E01001087,49,Croydon,-0.1190440469078321,51.41085643356423,43071,29.751740716180368
E01033424,49,Brent,-0.281143628090815,51.55772746425693,43120,29.78558797524315
E01003578,49,Newham,0.0506298676318776,51.55861915720762,43169,29.819435234305924
E01034152,49,Croydon,-0.0985851500890998,51.3662392611386,43218,29.8532824933687
E01002009,49,Haringey,-0.1413764480811153,51.57094553936134,43267,29.887129752431473
E01003618,49,Newham,0.0076216088726239,51.54195439670691,43316,29.920977011494255
E01034192,49,Greenwich,-0.0017618523876094,51.48591256213615,43365,29.95482427055703
E01001994,49,Haringey,-0.1599591786987851,51.582770839944885,43414,29.988671529619804
E01034187,49,Greenwich,0.0732215830878027,51.49190080834543,43463,30.022518788682582
E01035718,49,Westminster,-0.1700905834079326,51.5072139297476,43512,30.05636604774536
E01003041,49,Lambeth,-0.1349734189618376,51.461264842563615,43561,30.090213306808135
E01003051,48,Lambeth,-0.103838810997273,51.46261180601301,43609,30.123369805481875
E01004099,48,Sutton,-0.1624195862827505,51.367463194770366,43657,30.156526304155612
E01004754,48,Westminster,-0.1889216255167081,51.52304045594661,43705,30.189682802829353
E01002883,48,Kensington and Chelsea,-0.200606188733942,51.50965608972843,43753,30.222839301503097
E01001833,48,Hackney,-0.0703960657484639,51.55535398830615,43801,30.255995800176834
E01032512,48,Westminster,-0.1934516449369234,51.521021096116165,43849,30.289152298850574
E01035664,48,Tower Hamlets,-0.0689438272636925,51.52966162623264,43897,30.322308797524318
E01000457,48,Bexley,0.1026699407458073,51.42852642380376,43945,30.35546529619805
E01004697,48,Westminster,-0.1818441151064984,51.51541022694601,43993,30.388621794871796
E01033867,48,Southwark,-0.0992493364117246,51.50494251195292,44041,30.421778293545536
E01001979,48,Haringey,-0.0713143982002372,51.59364823215569,44089,30.454934792219273
E01032769,48,Tower Hamlets,-0.0412359026403215,51.50993301500146,44137,30.488091290893017
E01035687,48,Tower Hamlets,-0.0675670537360408,51.51597077233056,44185,30.521247789566758
E01001729,48,Hackney,-0.0453927386520181,51.549948776524985,44233,30.554404288240494
E01001756,48,Hackney,-0.0781816747310111,51.544256717308826,44281,30.587560786914235
E01003016,48,Lambeth,-0.1127565182181656,51.50747632675758,44329,30.620717285587972
E01002731,48,Islington,-0.1175968365299667,51.55963222818864,44377,30.653873784261716
E01004251,48,Tower Hamlets,-0.0312437488380794,51.51451129600703,44425,30.687030282935456
E01001792,48,Hackney,-0.0532288065171974,51.55998652165411,44473,30.720186781609193
E01000032,48,Barking and Dagenham,0.1331526194157289,51.57495011690311,44521,30.753343280282934
E01003291,48,Lewisham,-0.0145211966671124,51.4537195700097,44569,30.786499778956678
E01000858,48,Camden,-0.1497541890108446,51.54147149613609,44617,30.819656277630415
E01004341,48,Waltham Forest,0.0057265998695395,51.559617477677,44665,30.852812776304155
E01002319,48,Havering,0.1923130582310052,51.56658222125799,44713,30.8859692749779
E01001479,48,Enfield,-0.056199543232148,51.63443823120405,44761,30.919125773651636
E01001518,48,Enfield,-0.0683034897397048,51.650207224396894,44809,30.952282272325377
E01002897,48,Kensington and Chelsea,-0.1886252008788952,51.48347897496021,44857,30.985438770999117
E01002742,48,Islington,-0.0972893368831896,51.55973237221795,44905,31.018595269672854
E01001136,48,Croydon,-0.0782003927225721,51.39685766300519,44953,31.0517517683466
E01000558,48,Brent,-0.2112147294578771,51.55108195621056,45001,31.084908267020335
E01004534,48,Wandsworth,-0.166788097672507,51.46997891455349,45049,31.118064765694076
E01002181,48,Harrow,-0.3444792229965204,51.59428036553943,45097,31.151221264367816
E01002877,48,Kensington and Chelsea,-0.2203107982959188,51.51505523627066,45145,31.184377763041553
E01001516,48,Enfield,-0.0560300223270537,51.66070771439569,45193,31.217534261715297
E01003297,48,Lewisham,-0.0480058118148139,51.48494506142735,45241,31.250690760389038
E01035660,47,Tower Hamlets,-0.0557982182406993,51.53383811355904,45288,31.28315649867374
E01001730,47,Hackney,-0.0457526070096976,51.54605818393121,45335,31.315622236958447
E01002859,47,Kensington and Chelsea,-0.1595893283134627,51.49326503987486,45382,31.34808797524315
E01000710,47,Bromley,-0.0313210928024561,51.42078289797546,45429,31.380553713527853
E01033148,47,Enfield,-0.0154303801807704,51.66476974502044,45476,31.413019451812556
E01000510,47,Brent,-0.246040111294767,51.55965769005872,45523,31.445485190097262
E01002902,47,Kensington and Chelsea,-0.1576410650551727,51.49069416661658,45570,31.477950928381965
E01003107,47,Lambeth,-0.1099988280448997,51.48635507353982,45617,31.510416666666668
E01002633,47,Hounslow,-0.4059479478669722,51.48732075289961,45664,31.54288240495137
E01003159,47,Lambeth,-0.1317703610904473,51.452274986016086,45711,31.575348143236077
E01003347,47,Lewisham,0.0013634093345783,51.433740561865946,45758,31.60781388152078
E01000524,47,Brent,-0.2512725785043027,51.5372386736944,45805,31.640279619805483
E01001966,47,Haringey,-0.1302341235273673,51.59305930431808,45852,31.672745358090186
E01002070,47,Haringey,-0.080260140643784,51.5865231453496,45899,31.705211096374892
E01000494,47,Brent,-0.2169707372046018,51.54663899323937,45946,31.737676834659595
E01000142,47,Barnet,-0.2117188836073379,51.56235039160491,45993,31.770142572944298
