LSOA code,Burglary_Count,Borough,longitude,latitude
E01002919,18,Kingston upon Thames,-0.2728182756907496,51.3762007370883
E01002920,32,Kingston upon Thames,-0.277394365275853,51.39351082052673
E01002921,18,Kingston upon Thames,-0.29533193854508,51.39430675401032
E01002922,11,Kingston upon Thames,-0.2904876589686316,51.39464551801149
E01002923,25,Kingston upon Thames,-0.2956874459873942,51.390949580973626
E01002924,19,Kingston upon Thames,-0.2864144048393144,51.39128128723359
E01002925,19,Kingston upon Thames,-0.2939852761801744,51.38692050623558
E01002926,19,Kingston upon Thames,-0.2811511408025778,51.39700659171505
E01002927,14,Kingston upon Thames,-0.2701312842618204,51.398972470020055
E01002928,25,Kingston upon Thames,-0.2633603066822274,51.39889248542283
E01002929,30,Kingston upon Thames,-0.2507709190619445,51.40797574548369
E01002930,39,Kingston upon Thames,-0.2606418117463129,51.40142457449741
E01002931,13,Kingston upon Thames,-0.2496824795273422,51.40099290343898
E01002932,20,Kingston upon Thames,-0.2753413000136513,51.400841735518966
E01002933,19,Kingston upon Thames,-0.2955926788798209,51.4166814106525
E01002934,22,Kingston upon Thames,-0.2962918991763401,51.41995720092479
E01002935,24,Kingston upon Thames,-0.2866957771202343,51.41485184515402
E01002937,16,Kingston upon Thames,-0.2930100720764141,51.41433525131775
E01002938,28,Kingston upon Thames,-0.2912043819235307,51.41998561149788
E01002939,14,Kingston upon Thames,-0.2977626641656353,51.36578693711014
E01002940,5,Kingston upon Thames,-0.3066163064324265,51.36472482790984
E01002941,3,Kingston upon Thames,-0.3108380986692065,51.3714512920745
E01002942,8,Kingston upon Thames,-0.3023812809959019,51.36741478508995
E01002943,5,Kingston upon Thames,-0.3152177440410579,51.36624485835669
E01002944,10,Kingston upon Thames,-0.2904727256276768,51.36685351500428
E01002945,7,Kingston upon Thames,-0.2932553390605451,51.3638344594411
E01002946,8,Kingston upon Thames,-0.2936709799986129,51.35649665446464
E01002947,2,Kingston upon Thames,-0.2989101242581148,51.36164327668845
E01002948,12,Kingston upon Thames,-0.317021024435996,51.34194993693888
E01002949,11,Kingston upon Thames,-0.3097144273934393,51.3619645336264
E01002950,8,Kingston upon Thames,-0.302419536780472,51.35413815186233
E01002951,11,Kingston upon Thames,-0.2824373916040673,51.41975572337249
E01002952,31,Kingston upon Thames,-0.2659873013801345,51.42053347067241
E01002953,20,Kingston upon Thames,-0.2550818813251222,51.41719388143023
E01002954,23,Kingston upon Thames,-0.2821040738683076,51.414291150551314
E01002955,14,Kingston upon Thames,-0.2556020128654775,51.43330983627511
E01002956,22,Kingston upon Thames,-0.2651128375795862,51.42840895362421
E01002957,12,Kingston upon Thames,-0.2770052687566617,51.42023158156864
E01002958,16,Kingston upon Thames,-0.2668801039954496,51.40462713855142
E01002959,18,Kingston upon Thames,-0.2660037455361075,51.41325948398418
E01002960,22,Kingston upon Thames,-0.276476771319273,51.41062345533712
E01002961,28,Kingston upon Thames,-0.2634998623496739,51.40936324965392
E01002962,17,Kingston upon Thames,-0.2705725107685622,51.40657480316708
E01002963,16,Kingston upon Thames,-0.2603008416878676,51.40548291959208
E01002964,23,Kingston upon Thames,-0.2977482084755994,51.4090351860108
E01002965,46,Kingston upon Thames,-0.3059317317005389,51.40272269268727
E01002966,17,Kingston upon Thames,-0.2916210310478149,51.4026999758349
E01002967,24,Kingston upon Thames,-0.3077893199197068,51.39774989173734
E01002968,139,Kingston upon Thames,-0.3038202755603752,51.41009589860722
E01002969,22,Kingston upon Thames,-0.2882000142295952,51.40870070566139
E01002970,17,Kingston upon Thames,-0.2823400988108468,51.406811409585
E01002971,19,Kingston upon Thames,-0.2911529912485757,51.405871670053656
E01002972,25,Kingston upon Thames,-0.2907668732574579,51.41012519662054
E01002973,19,Kingston upon Thames,-0.277686467396506,51.4051680301618
E01002974,22,Kingston upon Thames,-0.2859743948573269,51.410725998258926
E01002975,18,Kingston upon Thames,-0.2648195676866354,51.38794103899716
E01002976,14,Kingston upon Thames,-0.2426911188585758,51.38597203719341
E01002977,10,Kingston upon Thames,-0.258776034964484,51.38545325743967
E01002978,9,Kingston upon Thames,-0.2492162165920017,51.381912438447074
E01002979,7,Kingston upon Thames,-0.2572116779514402,51.3815440979243
E01002980,7,Kingston upon Thames,-0.2565049972873636,51.38868093494572
E01002981,21,Kingston upon Thames,-0.2616832254056835,51.39210278969915
E01002982,18,Kingston upon Thames,-0.2526916668007821,51.39236977874478
E01002983,17,Kingston upon Thames,-0.246137757834094,51.39049537403012
E01002984,15,Kingston upon Thames,-0.2587196701354235,51.3971246846523
E01002985,14,Kingston upon Thames,-0.2500600219124457,51.397307370522256
E01002986,12,Kingston upon Thames,-0.2699350527282091,51.39449788069539
E01002987,28,Kingston upon Thames,-0.3036029272787259,51.39431620923925
E01002988,21,Kingston upon Thames,-0.3134587501207005,51.39215573995604
E01002989,13,Kingston upon Thames,-0.309785877289002,51.39483708107245
E01002990,12,Kingston upon Thames,-0.3021002078967822,51.39763563109416
E01002991,9,Kingston upon Thames,-0.2973183849450165,51.39874547801026
E01002992,13,Kingston upon Thames,-0.2894366056133609,51.39931250833382
E01002993,17,Kingston upon Thames,-0.3091188870795199,51.3886987908968
E01002994,22,Kingston upon Thames,-0.3046233953517407,51.38151244609994
E01002995,10,Kingston upon Thames,-0.3036955556073,51.38672041020757
E01002996,13,Kingston upon Thames,-0.2934589536258349,51.38279057812017
E01002997,13,Kingston upon Thames,-0.2976732436235521,51.38406407007192
E01002998,11,Kingston upon Thames,-0.2926574046361441,51.37944808528918
E01002999,17,Kingston upon Thames,-0.3015341516391457,51.39039690290632
E01003000,20,Kingston upon Thames,-0.2840287979614296,51.371682144872864
E01003001,26,Kingston upon Thames,-0.2849434171840939,51.37723905353724
E01003002,13,Kingston upon Thames,-0.302977241407206,51.376835650239165
E01003003,10,Kingston upon Thames,-0.2882599005140562,51.38088900225101
E01003004,11,Kingston upon Thames,-0.2971402858484186,51.37486831922261
E01003005,13,Kingston upon Thames,-0.2982283669187083,51.37083359821488
E01003006,15,Kingston upon Thames,-0.3096187785355169,51.428772528950056
E01003007,15,Kingston upon Thames,-0.3007067881440793,51.42913111599052
E01003008,10,Kingston upon Thames,-0.2992534010390082,51.42485928198782
E01003009,16,Kingston upon Thames,-0.2914671977287132,51.425388788517935
E01003010,17,Kingston upon Thames,-0.3012345670278923,51.42204338793565
E01003011,23,Kingston upon Thames,-0.304504609868957,51.41855337298424
E01003013,130,Lambeth,-0.1191668624342476,51.50047758663296
E01003014,58,Lambeth,-0.1143525022041129,51.4969459092441
E01003015,18,Lambeth,-0.1135027700667033,51.49468257153804
E01003016,48,Lambeth,-0.1127565182181656,51.50747632675758
E01003017,53,Lambeth,-0.1088690696415638,51.50427130088929
E01003018,59,Lambeth,-0.1213332402928147,51.45639508533458
E01003019,19,Lambeth,-0.1268751142576347,51.45773908955725
E01003020,66,Lambeth,-0.1194186292844649,51.4587374058079
E01003021,23,Lambeth,-0.1253051911050839,51.45364858956919
E01003022,30,Lambeth,-0.1284292934023474,51.45207531469386
E01003023,45,Lambeth,-0.1265637880199634,51.44867651997978
E01003024,24,Lambeth,-0.1220608935657007,51.44966960697308
E01003025,34,Lambeth,-0.1209424150565282,51.44612292592399
E01003026,55,Lambeth,-0.1451032178614967,51.45883900697141
E01003027,29,Lambeth,-0.1343959319112552,51.45689982476158
