LSOA code,Year,Month_Num,Burglary_Count
E01032740,2021,7,5
E01032740,2021,8,3
E01032740,2021,9,7
E01032740,2021,10,2
E01032740,2021,11,3
E01032740,2021,12,6
E01032740,2022,2,3
E01032740,2022,3,1
E01032740,2022,4,6
E01032740,2022,5,7
E01032740,2022,6,2
E01032740,2022,7,5
E01032740,2022,8,4
E01032740,2022,9,4
E01032740,2022,10,2
E01032740,2022,11,6
E01032740,2022,12,2
E01032740,2023,1,2
E01032740,2023,2,5
E01032740,2023,3,6
E01032740,2023,4,4
E01032740,2023,5,6
E01032740,2023,6,5
E01032740,2023,7,7
E01032740,2023,8,4
E01032740,2023,9,2
E01032740,2023,10,7
E01032740,2023,11,5
E01032740,2023,12,4
E01032740,2024,1,3
E01032740,2024,2,5
E01032740,2024,3,3
E01032740,2024,4,8
E01032740,2024,5,5
E01032740,2024,6,4
E01032740,2024,7,3
E01032740,2024,8,2
E01032740,2024,9,7
E01032740,2024,10,9
E01032740,2024,11,4
E01032740,2024,12,4
E01032740,2025,1,6
E01032740,2025,2,10
E01032767,2020,6,1
E01032767,2021,8,1
E01032767,2022,2,1
E01033490,2016,10,1
E01033490,2019,6,1
E01033490,2020,4,2
E01033490,2020,8,1
E01033490,2020,9,1
E01033490,2021,8,1
E01033490,2021,9,1
E01033490,2022,2,1
E01033490,2022,6,1
E01033490,2022,7,1
E01033490,2022,8,1
E01033490,2023,1,1
E01033708,2022,12,1
E01033708,2024,12,1
