LSOA code,Year,Month_Num,Burglary_Count,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Does not apply_x,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,Does not apply_y,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,School_Count,Precise_Daylight_Hours
E01000002,2019,10,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,10.5
E01000002,2019,11,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,8.4
E01000002,2020,1,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,8.07
E01000002,2020,4,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,13.93
E01000002,2020,7,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,15.8
E01000002,2020,8,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,14.4
E01000002,2021,3,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,11.93
E01000002,2022,2,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,9.93
E01000002,2022,6,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,16.37
E01000002,2022,8,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,14.4
E01000002,2023,2,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,9.93
E01000002,2023,7,3,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,15.8
E01000002,2023,8,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,14.4
E01000002,2023,9,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,12.43
E01000002,2023,10,5,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,10.5
E01000002,2023,12,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,7.93
E01000002,2024,1,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,8.07
E01000002,2024,4,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,13.93
E01000002,2024,5,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,15.87
E01000002,2024,6,4,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,16.37
E01000002,2024,8,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,14.4
E01000002,2024,10,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,10.5
E01000003,2017,11,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,8.4
E01000003,2017,12,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,7.93
E01000003,2021,10,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,10.5
