LSOA21CD,Latitude,Longitude
E01000318,51.61122,-0.1715
E01000319,51.60189,-0.17876
E01000320,51.61971,-0.17215
E01000321,51.61864,-0.17716
E01000322,51.61608,-0.17093
E01000323,51.6142,-0.17337
E01000324,51.61466,-0.16467
E01000325,51.46186,0.16648
E01000326,51.46224,0.176144
E01000327,51.46251,0.154245
E01000328,51.45747,0.166575
E01000329,51.45412,0.157189
E01000330,51.45879,0.150673
E01000331,51.45197,0.162644
E01000332,51.48516,0.151857
E01000333,51.48253,0.146361
E01000334,51.48224,0.139362
E01000335,51.49728,0.156405
E01000336,51.48814,0.145227
E01000337,51.4876,0.141312
E01000338,51.48723,0.147302
E01000339,51.4393,0.087638
E01000340,51.45195,0.092793
E01000341,51.44883,0.095025
E01000342,51.44702,0.091243
E01000343,51.44622,0.098388
E01000344,51.44269,0.087476
E01000345,51.44184,0.094345
E01000346,51.44584,0.111409
E01000347,51.44803,0.105883
E01000348,51.44585,0.125326
E01000349,51.446,0.134313
E01000350,51.44537,0.102421
E01000351,51.44246,0.116375
E01000352,51.44802,0.118734
E01000353,51.469,0.143709
E01000354,51.47069,0.134674
E01000355,51.46796,0.152645
E01000356,51.46642,0.131984
E01000357,51.46736,0.126614
E01000358,51.46607,0.14062
E01000359,51.47343,0.130727
E01000360,51.45784,0.137658
E01000361,51.45626,0.131438
E01000362,51.45414,0.146078
E01000363,51.45122,0.136586
E01000364,51.45009,0.149213
E01000365,51.46049,0.145023
E01000366,51.46139,0.135924
E01000367,51.47241,0.177118
E01000368,51.46818,0.175088
E01000369,51.46985,0.167507
E01000370,51.4674,0.162165
E01000371,51.46673,0.168079
E01000372,51.47432,0.170613
E01000373,51.47429,0.17846
E01000374,51.45802,0.192383
E01000375,51.45025,0.186757
E01000376,51.45722,0.185679
E01000377,51.45632,0.177532
E01000379,51.4461,0.18073
E01000380,51.46133,0.181154
E01000381,51.42974,0.139683
E01000382,51.42857,0.118251
E01000383,51.41992,0.137096
E01000384,51.42144,0.111132
E01000385,51.41902,0.124282
E01000386,51.42113,0.11572
E01000387,51.43362,0.126024
E01000388,51.4582,0.110195
E01000389,51.45679,0.125014
E01000390,51.45274,0.122364
E01000391,51.45301,0.110027
E01000392,51.46255,0.112037
E01000393,51.46159,0.122617
E01000394,51.46073,0.129256
E01000395,51.46853,0.087691
E01000396,51.46187,0.087099
E01000398,51.47064,0.09395
E01000399,51.46635,0.092559
E01000400,51.46539,0.098476
E01000401,51.46701,0.10595
E01000402,51.4821,0.156595
E01000403,51.47881,0.177221
E01000404,51.4848,0.174309
E01000405,51.48602,0.168505
E01000406,51.48428,0.162229
E01000407,51.47944,0.165082
E01000408,51.49562,0.164639
E01000409,51.45706,0.10234
E01000410,51.45758,0.093007
E01000411,51.45537,0.098174
E01000412,51.45805,0.08347
E01000413,51.45284,0.097511
E01000414,51.46219,0.104246
E01000415,51.46058,0.095736
E01000416,51.49337,0.124339
E01000417,51.4849,0.128885
E01000418,51.48924,0.130816
E01000419,51.47783,0.128037
E01000420,51.4795,0.138628
E01000421,51.47661,0.13233
E01000422,51.49494,0.12215
E01000423,51.43389,0.07945
E01000424,51.43072,0.096613
E01000425,51.43381,0.088381
E01000426,51.42936,0.087314
E01000427,51.42659,0.091705
E01000428,51.42057,0.101728
E01000429,51.47735,0.188053
E01000430,51.47641,0.202295
E01000431,51.47414,0.183911
E01000433,51.46778,0.185263
E01000434,51.465,0.199599
E01000435,51.46607,0.180847
E01000436,51.47361,0.140354
E01000437,51.47684,0.151436
E01000438,51.47631,0.159432
E01000439,51.47478,0.163205
E01000440,51.47283,0.148166
E01000441,51.47223,0.157123
E01000442,51.47737,0.144649
E01000443,51.43841,0.123339
E01000444,51.43685,0.161929
E01000445,51.43724,0.133472
E01000446,51.44155,0.126464
E01000447,51.44156,0.151244
E01000448,51.44171,0.136775
E01000449,51.44475,0.143565
E01000450,51.47597,0.120203
E01000451,51.47372,0.118875
E01000452,51.47141,0.124023
E01000453,51.46971,0.119798
E01000454,51.4708,0.114578
E01000455,51.46673,0.114404
E01000456,51.46621,0.121291
E01000457,51.42981,0.104368
E01000458,51.43067,0.110896
E01000459,51.42604,0.108913
E01000460,51.43989,0.10404
E01000461,51.43658,0.113586
E01000462,51.43426,0.10417
E01000463,51.43702,0.090182
E01000464,51.49317,0.132238
E01000465,51.49364,0.142402
E01000466,51.50162,0.139406
E01000467,51.5099,0.123465
E01000468,51.51021,0.129792
E01000469,51.50542,0.126845
E01000470,51.50018,0.125635
E01000471,51.53734,-0.2915
E01000472,51.53622,-0.30002
E01000473,51.54396,-0.29519
E01000474,51.5461,-0.29041
E01000475,51.54316,-0.30597
E01000476,51.54216,-0.28967
E01000477,51.54115,-0.28378
E01000478,51.54101,-0.29455
E01000479,51.56952,-0.26974
E01000480,51.56892,-0.2807
E01000481,51.5657,-0.27353
E01000483,51.56192,-0.26626
E01000484,51.58115,-0.28438
E01000485,51.57822,-0.29094
E01000486,51.57478,-0.28172
E01000487,51.57165,-0.29175
E01000488,51.54305,-0.22954
E01000489,51.54445,-0.22265
E01000490,51.5438,-0.2078
E01000491,51.54139,-0.2144
E01000492,51.54139,-0.22391
E01000493,51.53886,-0.22594
E01000494,51.54603,-0.21816
E01000495,51.54546,-0.21231
E01000497,51.5646,-0.22769
E01000498,51.56864,-0.24382
E01000499,51.56967,-0.23642
E01000501,51.56275,-0.23444
E01000502,51.55999,-0.24084
E01000503,51.55958,-0.23093
E01000504,51.55169,-0.22539
E01000505,51.55244,-0.23119
E01000506,51.55241,-0.24648
E01000507,51.55438,-0.23419
E01000508,51.54859,-0.24752
E01000509,51.56178,-0.24954
E01000510,51.55924,-0.24799
E01000511,51.55674,-0.24611
E01000512,51.55412,-0.24066
E01000513,51.58466,-0.25177
E01000514,51.58273,-0.25887
E01000515,51.58452,-0.2682
E01000516,51.58796,-0.25518
E01000517,51.58278,-0.27721
E01000518,51.58039,-0.26674
E01000519,51.5762,-0.26886
E01000520,51.5871,-0.26439
E01000521,51.54039,-0.25382
E01000522,51.54211,-0.24544
E01000523,51.53958,-0.24796
E01000524,51.53719,-0.25036
E01000525,51.5351,-0.25188
E01000526,51.54671,-0.25181
E01000527,51.54267,-0.2494
E01000528,51.5438,-0.25434
E01000530,51.53523,-0.22986
E01000531,51.53259,-0.231
E01000532,51.5316,-0.22643
E01000533,51.53778,-0.24327
E01000534,51.535,-0.23485
E01000535,51.53401,-0.2384
E01000536,51.58219,-0.31048
E01000538,51.58089,-0.30029
E01000539,51.57581,-0.29597
E01000540,51.57749,-0.30759
E01000541,51.58554,-0.30407
E01000543,51.58371,-0.28848
E01000544,51.52943,-0.19731
E01000545,51.543,-0.20198
E01000546,51.54196,-0.2039
E01000547,51.53994,-0.20087
E01000548,51.53844,-0.19583
E01000549,51.53739,-0.19982
E01000550,51.53572,-0.19445
E01000551,51.53367,-0.20024
E01000552,51.53156,-0.19613
E01000553,51.55853,-0.22005
E01000554,51.55854,-0.22534
E01000555,51.5551,-0.226
E01000556,51.55536,-0.21528
E01000557,51.55358,-0.2183
E01000558,51.55113,-0.21112
E01000559,51.55142,-0.22148
E01000560,51.55017,-0.21638
E01000561,51.5485,-0.207
E01000562,51.56519,-0.32629
E01000563,51.56659,-0.31782
E01000564,51.56365,-0.31242
E01000565,51.5636,-0.31847
E01000566,51.56551,-0.30973
E01000567,51.56039,-0.326
E01000568,51.57671,-0.31852
E01000569,51.57085,-0.31295
E01000570,51.55989,-0.29966
E01000571,51.55926,-0.29503
E01000572,51.57406,-0.30791
E01000573,51.57181,-0.3007
E01000574,51.57024,-0.30509
E01000575,51.56648,-0.29643
E01000576,51.5677,-0.29037
E01000577,51.56449,-0.30093
E01000578,51.56319,-0.28459
E01000579,51.53052,-0.22022
E01000580,51.53822,-0.20818
E01000581,51.53723,-0.21875
E01000582,51.53425,-0.21392
E01000583,51.53498,-0.20325
E01000584,51.53509,-0.2233
E01000585,51.5325,-0.22261
E01000586,51.5312,-0.21551
E01000587,51.59433,-0.27068
E01000589,51.59062,-0.28066
E01000590,51.59061,-0.26849
E01000591,51.58754,-0.27685
E01000592,51.59769,-0.26747
E01000593,51.59559,-0.27498
E01000594,51.59385,-0.28383
E01000595,51.54474,-0.25901
E01000596,51.54681,-0.26272
E01000599,51.53987,-0.26084
E01000601,51.5543,-0.25947
E01000602,51.55138,-0.26442
E01000603,51.55026,-0.25845
E01000604,51.54925,-0.26712
E01000605,51.54464,-0.26836
E01000606,51.5585,-0.331
E01000607,51.55613,-0.31134
E01000608,51.55972,-0.31558
E01000609,51.55565,-0.32309
E01000610,51.55521,-0.30576
E01000611,51.55257,-0.31765
E01000612,51.54999,-0.31056
E01000613,51.56018,-0.30624
E01000615,51.55719,-0.27273
E01000616,51.55667,-0.29
E01000617,51.55261,-0.28202
E01000618,51.54927,-0.27506
E01000619,51.55147,-0.27067
E01000620,51.5467,-0.28313
E01000621,51.54725,-0.27572
E01000622,51.56749,-0.25235
E01000623,51.57235,-0.26536
E01000624,51.57371,-0.25424
E01000625,51.56718,-0.26335
E01000626,51.5635,-0.25979
E01000627,51.56119,-0.25676
E01000628,51.55722,-0.25578
E01000629,51.57542,-0.25925
E01000630,51.54995,-0.29445
E01000631,51.54779,-0.30366
E01000632,51.54439,-0.30066
E01000633,51.54971,-0.3005
E01000634,51.55623,-0.30098
E01000636,51.55182,-0.2886
E01000637,51.5497,-0.23154
E01000638,51.54545,-0.24105
E01000639,51.54873,-0.22529
E01000640,51.54738,-0.23574
E01000641,51.55029,-0.23503
E01000642,51.54778,-0.22458
E01000643,51.54236,-0.23783
E01000644,51.54632,-0.2317
E01000645,51.41019,0.046147
